1,0,24.1,26.0
Ångström bar experiment:
Date: 28-9-2024
Start time: 13:37:50
Time   ,Heater status  ,Temp P   ,Temp Q   
6,1,24.0,26.0
11,1,24.1,25.9
16,1,24.1,25.9
21,1,24.1,26.1
26,1,24.1,25.8
31,1,24.3,26.0
36,1,24.1,25.8
41,1,24.1,25.7
46,1,24.2,25.8
51,1,24.1,25.9
56,1,24.1,25.8
61,1,24.1,25.7
66,1,24.0,25.8
71,1,24.1,26.0
76,1,24.1,25.8
81,1,24.1,25.8
86,1,24.1,26.0
91,1,24.1,25.9
96,1,24.1,26.1
101,1,24.1,26.0
106,1,24.2,26.1
111,1,24.3,26.2
116,1,24.2,26.3
121,1,24.3,26.3
126,1,24.3,26.5
131,1,24.3,26.5
136,1,24.3,26.6
141,1,24.3,26.8
146,1,24.4,26.8
151,1,24.5,27.0
156,1,24.5,27.2
161,0,24.4,27.2
166,0,24.5,27.3
171,0,24.5,27.3
176,0,24.5,27.5
181,0,24.7,27.6
186,0,24.6,27.6
191,0,24.6,27.8
196,0,24.8,27.9
201,0,24.8,28.0
206,0,24.9,28.1
211,0,24.9,28.1
216,0,25.0,28.1
221,0,25.0,28.3
226,0,25.0,28.4
231,0,25.1,28.4
236,0,25.1,28.3
241,0,25.2,28.4
246,0,25.2,28.3
251,0,25.3,28.4
256,0,25.3,28.5
261,0,25.4,28.3
266,0,25.3,28.3
271,0,25.5,28.3
276,0,25.4,28.3
281,0,25.4,28.3
286,0,25.6,28.2
291,0,25.5,28.3
296,0,25.5,28.2
301,1,25.6,28.1
306,1,25.6,28.0
311,1,25.6,28.1
316,1,25.6,28.0
321,1,25.6,27.8
326,1,25.6,27.9
331,1,25.6,27.8
336,1,25.5,27.6
341,1,25.6,27.6
346,1,25.6,27.7
351,1,25.6,27.5
356,1,25.5,27.4
361,1,25.5,27.4
366,1,25.6,27.5
371,1,25.6,27.4
376,1,25.5,27.5
381,1,25.5,27.4
386,1,25.5,27.5
391,1,25.6,27.6
396,1,25.5,27.6
401,1,25.5,27.5
406,1,25.5,27.7
411,1,25.5,27.6
416,1,25.5,27.8
421,1,25.5,27.8
426,1,25.5,28.0
431,1,25.6,27.9
436,1,25.5,28.1
441,1,25.6,28.1
446,1,25.6,28.2
451,1,25.6,28.3
456,0,25.6,28.4
461,0,25.6,28.6
466,0,25.8,28.5
471,0,25.8,28.7
476,0,25.7,28.8
481,0,25.7,28.8
486,0,25.8,29.0
491,0,25.8,29.1
496,0,25.9,29.1
501,0,26.0,29.2
506,0,26.0,29.3
511,0,26.1,29.3
516,0,26.1,29.3
521,0,26.0,29.3
526,0,26.1,29.5
531,0,26.3,29.6
536,0,26.1,29.6
541,0,26.3,29.4
546,0,26.3,29.4
551,0,26.4,29.4
556,0,26.4,29.4
561,0,26.4,29.4
566,0,26.4,29.3
571,0,26.4,29.4
576,0,26.4,29.2
581,0,26.5,29.1
586,0,26.5,29.1
591,0,26.5,29.0
596,1,26.5,28.8
601,1,26.4,28.9
606,1,26.6,29.0
611,1,26.5,28.8
616,1,26.5,28.8
621,1,26.6,28.6
626,1,26.6,28.5
631,1,26.6,28.6
636,1,26.5,28.5
641,1,26.5,28.3
646,1,26.6,28.3
651,1,26.5,28.3
656,1,26.4,28.3
661,1,26.5,28.2
666,1,26.4,28.2
671,1,26.4,28.4
676,1,26.4,28.2
681,1,26.4,28.1
686,1,26.3,28.3
691,1,26.4,28.1
696,1,26.4,28.5
701,1,26.4,28.2
706,1,26.3,28.3
711,1,26.3,28.5
716,1,26.2,28.3
721,1,26.3,28.6
726,1,26.4,28.6
731,1,26.3,28.6
736,1,26.3,28.6
741,1,26.3,28.8
746,1,26.4,28.8
751,1,26.5,29.0
756,0,26.3,29.0
761,0,26.4,29.1
766,0,26.5,29.3
771,0,26.5,29.3
776,0,26.5,29.3
781,0,26.5,29.5
786,0,26.6,29.5
791,0,26.6,29.5
796,0,26.6,29.8
801,0,26.6,29.7
806,0,26.7,29.9
811,0,26.7,30.0
816,0,26.7,29.8
821,0,26.7,30.0
826,0,26.8,29.9
831,0,26.9,29.9
836,0,26.8,29.8
